Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1.0,28.01600171,-66.76590342,0.0,1.0,86.0,Calm
1.0,28.12190067,-65.17990134,0.0,1.0,86.0,Calm
1.0,28.22587071,-65.64612599,0.0,1.0,86.0,Calm
1.0,28.33250842,-65.58807431,0.0,1.0,86.0,Calm
1.0,28.43854904,-64.82789711,0.0,1.0,86.0,Calm
1.0,28.54321583,-66.15740015,0.0,1.0,86.0,Calm
1.0,28.64993071,-65.17080984,0.0,1.0,86.0,Calm
1.0,28.75534383,-63.01300163,0.0,1.0,86.0,Calm
1.0,28.86199942,-65.77715052,0.0,1.0,86.0,Calm
1.0,28.967734,-59.74961431,0.0,1.0,86.0,Calm
1.0,29.07194604,-61.63513284,0.0,1.0,86.0,Calm
1.0,29.17606538,-60.79590903,0.0,1.0,86.0,Calm
1.0,29.28263708,-63.09008306,0.0,1.0,86.0,Calm
1.0,29.38886117,-60.81896218,0.0,1.0,86.0,Calm
1.0,29.49566063,-64.96065324,0.0,1.0,86.0,Calm
1.0,29.60123754,-65.19508825,0.0,1.0,86.0,Calm
1.0,29.70572304,-62.11349985,0.0,1.0,86.0,Calm
1.0,29.81244363,-64.98285111,0.0,1.0,86.0,Calm
1.0,29.91794988,-63.65830593,0.0,1.0,86.0,Calm
1.0,30.02246821,-62.46295425,0.0,1.0,86.0,Calm
1.0,30.12891867,-57.4,0.0,1.0,86.0,Calm
1.0,30.23448471,-60.72426867,0.0,1.0,86.0,Calm
1.0,30.33934242,-59.6426946,0.0,1.0,86.0,Calm
1.0,30.44345963,-63.30482507,0.0,1.0,86.0,Calm
1.0,30.54981671,-48.12944,0.0,1.0,86.0,Calm
1.0,30.65605375,-53.61860361,0.0,1.0,86.0,Calm
1.0,30.7627565,-59.27291399,0.0,1.0,86.0,Calm
1.0,30.86860758,-60.92862999,0.0,1.0,86.0,Calm
1.0,30.97285796,-57.94563354,0.0,1.0,86.0,Calm
1.0,31.07673571,-56.0447271,0.0,1.0,86.0,Calm
1.0,31.18341483,-56.27227581,0.0,1.0,86.0,Calm
1.0,31.28975225,-63.08807629,0.0,1.0,86.0,Calm
1.0,31.39637183,-54.18028017,0.0,1.0,86.0,Calm
1.0,31.50190204,-43.87779873,0.0,1.0,86.0,Calm
1.0,31.60632692,-54.80858435,0.0,1.0,86.0,Calm
1.0,31.71039938,-51.38372112,0.0,1.0,86.0,Calm
1.0,31.81427017,-56.61540337,0.0,1.0,86.0,Calm
1.0,31.9209025,-40.55232593,0.0,1.0,86.0,Calm
1.0,32.02712504,-52.51325728,0.0,1.0,86.0,Calm
1.0,32.13396704,-64.84732042,0.0,1.0,86.0,Calm
1.0,32.240021,-58.69425452,0.0,1.0,86.0,Calm
1.0,32.34371954,-56.97758784,0.0,1.0,86.0,Calm
1.0,32.45037283,-59.19062754,0.0,1.0,86.0,Calm
1.0,32.55679192,-55.38055955,0.0,1.0,86.0,Calm
1.0,32.66038421,-47.35881639,0.0,1.0,86.0,Calm
1.0,32.76702829,-58.95706361,0.0,1.0,86.0,Calm
1.0,32.87352775,-61.48316507,0.0,1.0,86.0,Calm
1.0,32.97710154,-47.22610856,0.0,1.0,86.0,Calm
1.0,33.08369588,-59.09687626,0.0,1.0,86.0,Calm
1.0,33.18837483,-59.57728628,0.0,1.0,86.0,Calm
1.0,33.29375817,-62.68641067,0.0,1.0,86.0,Calm
1.0,33.40042204,-55.48935596,0.0,1.0,86.0,Calm
1.0,33.50508325,-47.71788619,0.0,1.0,86.0,Calm
1.0,33.60727725,-43.73262062,0.0,1.0,86.0,Calm
1.0,33.71288613,-48.30981514,0.0,1.0,86.0,Calm
1.0,33.81906458,-49.28403679,0.0,1.0,86.0,Calm
1.0,33.92400567,-49.04653386,0.0,1.0,86.0,Calm
1.0,34.03071417,-51.93257936,0.0,1.0,86.0,Calm
1.0,34.13693333,-52.52372232,0.0,1.0,86.0,Calm
1.0,34.23882992,-52.60389796,0.0,1.0,86.0,Calm
1.0,34.34503388,-57.5410272,0.0,1.0,86.0,Calm
1.0,34.45171954,-51.41921352,0.0,1.0,86.0,Calm
1.0,34.55775413,-43.57794549,0.0,1.0,86.0,Calm
1.0,34.66167383,-47.3598837,0.0,1.0,86.0,Calm
1.0,34.76844575,-48.14978677,0.0,1.0,86.0,Calm
1.0,34.874541,-55.08085447,0.0,1.0,86.0,Calm
1.0,34.98123167,-55.30916476,0.0,1.0,86.0,Calm
1.0,35.08759046,-56.5811019,0.0,1.0,86.0,Calm
1.0,35.19143363,-54.91202097,0.0,1.0,86.0,Calm
1.0,35.29816196,-57.75817864,0.0,1.0,86.0,Calm
1.0,35.40429608,-60.87400478,0.0,1.0,86.0,Calm
1.0,35.50800421,-56.69859406,0.0,1.0,86.0,Calm
1.0,35.61471408,-48.62650479,0.0,1.0,86.0,Calm
1.0,35.72040133,-49.20592844,0.0,1.0,86.0,Calm
1.0,35.8228365,-53.52937099,0.0,1.0,86.0,Calm
1.0,35.92544529,-55.69362679,0.0,1.0,86.0,Calm
1.0,36.03212392,-59.64253103,0.0,1.0,86.0,Calm
