Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1,34.5577541300 ,-43.5779454900 ,0,1,86,Calm
1,34.6616738300 ,-47.3598837000 ,0,1,86,Calm
1,34.7684457500 ,-48.1497867700 ,0,1,86,Calm
1,34.8745410000 ,-55.0808544700 ,0,1,86,Calm
1,34.9812316700 ,-55.3091647600 ,0,1,86,Calm
1,35.0875904600 ,-56.5811019000 ,0,1,86,Calm
1,35.1914336300 ,-54.9120209700 ,0,1,86,Calm
1,35.2981619600 ,-57.7581786400 ,0,1,86,Calm
1,35.4042960800 ,-60.8740047800 ,0,1,86,Calm
1,35.5080042100 ,-56.6985940600 ,0,1,86,Calm
1,35.6147140800 ,-48.6265047900 ,0,1,86,Calm
1,35.7204013300 ,-49.2059284400 ,0,1,86,Calm
1,35.8228365000 ,-53.5293709900 ,0,1,86,Calm
1,35.9254452900 ,-55.6936267900 ,0,1,86,Calm
1,36.0321239200 ,-59.6425310300 ,0,1,86,Calm
1,36.1367085400 ,-44.8637014200 ,0,1,86,Calm
1,36.2416176300 ,-57.9476891800 ,0,1,86,Calm
1,36.3457920400 ,-61.1793885300 ,0,1,86,Calm
1,36.4524222900 ,-57.9378760700 ,0,1,86,Calm
1,36.5580748300 ,-61.9178459200 ,0,1,86,Calm
1,36.6624520000 ,-57.1433769000 ,0,1,86,Calm
1,36.7691059200 ,-56.5239203300 ,0,1,86,Calm
1,36.8725797900 ,-48.0475971200 ,0,1,86,Calm
1,36.9790031700 ,-58.0180660800 ,0,1,86,Calm
1,37.0856019200 ,-62.9605535100 ,0,1,86,Calm
1,37.1910665000 ,-62.9286857500 ,0,1,86,Calm
1,37.2946330400 ,-61.3362835400 ,0,1,86,Calm
1,37.4012514600 ,-54.2518128500 ,0,1,86,Calm
1,37.5078174600 ,-61.7232257000 ,0,1,86,Calm
1,37.6146122500 ,-63.0734371600 ,0,1,86,Calm
1,37.7202527100 ,-59.8738280900 ,0,1,86,Calm
1,37.8240383800 ,-66.3482894900 ,0,1,86,Calm
1,37.9307142100 ,-61.5116010000 ,0,1,86,Calm
1,38.0368459600 ,-62.9415831600 ,0,1,86,Calm
1,38.1408661700 ,-62.2161920100 ,0,1,86,Calm
1,38.2475683300 ,-52.5687410200 ,0,1,86,Calm
1,38.3534786700 ,-64.3497950100 ,0,1,86,Calm
1,38.4575729200 ,-65.3114055000 ,0,1,86,Calm
